Time	Participant	Block	Trial	ObjectCount	VVChange	CompletionTime	Error	Practice
Thu Feb 15 11:46:53 CET 2018	0	0 	0 	16 	Size 	1319	0	true
Thu Feb 15 11:46:55 CET 2018	0	0 	1 	16 	Orientation 	1144	0	true
Thu Feb 15 11:46:57 CET 2018	0	0 	2 	36 	Orientation 	1056	0	true
Thu Feb 15 11:47:15 CET 2018	0	1 	0 	16 	SizeOrientation 	17413	0	false 
Thu Feb 15 11:47:19 CET 2018	0	1 	1 	16 	Orientation 	1680	0	false 
Thu Feb 15 11:47:21 CET 2018	0	1 	2 	16 	Size 	800	0	false 
Thu Feb 15 11:47:22 CET 2018	0	1 	3 	16 	Size 	660	0	false 
Thu Feb 15 11:47:24 CET 2018	0	1 	4 	16 	Orientation 	1088	0	false 
Thu Feb 15 11:47:34 CET 2018	0	1 	5 	16 	SizeOrientation 	9080	0	false 
Thu Feb 15 11:47:42 CET 2018	0	1 	6 	16 	SizeOrientation 	6959	0	false 
Thu Feb 15 11:47:44 CET 2018	0	1 	7 	16 	Size 	976	0	false 
Thu Feb 15 11:47:52 CET 2018	0	1 	8 	16 	SizeOrientation 	6916	0	false 
Thu Feb 15 11:47:54 CET 2018	0	1 	9 	16 	Size 	898	0	false 
Thu Feb 15 11:47:55 CET 2018	0	1 	10 	16 	Orientation 	769	0	false 
Thu Feb 15 11:47:57 CET 2018	0	1 	11 	16 	Orientation 	713	0	false 
Thu Feb 15 11:47:58 CET 2018	0	1 	12 	16 	Size 	638	0	false 
Thu Feb 15 11:48:00 CET 2018	0	1 	13 	16 	Orientation 	927	0	false 
Thu Feb 15 11:48:07 CET 2018	0	1 	14 	16 	SizeOrientation 	6392	0	false 
Thu Feb 15 11:48:09 CET 2018	0	2 	0 	36 	Size 	879	0	false
Thu Feb 15 11:48:11 CET 2018	0	2 	1 	36 	Size 	751	0	false 
Thu Feb 15 11:48:14 CET 2018	0	2 	2 	36 	Orientation 	1744	0	false 
Thu Feb 15 11:48:16 CET 2018	0	2 	3 	36 	Size 	842	0	false 
Thu Feb 15 11:48:17 CET 2018	0	2 	4 	36 	Orientation 	828	0	false 
Thu Feb 15 11:49:01 CET 2018	0	2 	5 	36 	SizeOrientation 	42797	0	false 
Thu Feb 15 11:49:04 CET 2018	0	2 	6 	36 	Orientation 	2002	0	false 
Thu Feb 15 11:49:21 CET 2018	0	2 	7 	36 	SizeOrientation 	15736	0	false 
Thu Feb 15 11:49:31 CET 2018	0	2 	8 	36 	SizeOrientation 	8892	0	false 
Thu Feb 15 11:49:34 CET 2018	0	2 	9 	36 	Orientation 	2034	0	false 
Thu Feb 15 11:50:01 CET 2018	0	2 	10 	36 	SizeOrientation 	26148	0	false 
Thu Feb 15 11:50:04 CET 2018	0	2 	11 	36 	Orientation 	1672	0	false 
Thu Feb 15 11:50:14 CET 2018	0	2 	12 	36 	SizeOrientation 	9126	0	false 
Thu Feb 15 11:50:16 CET 2018	0	2 	13 	36 	Size 	784	0	false 
Thu Feb 15 11:50:18 CET 2018	0	2 	14 	36 	Size 	778	0	false 
Thu Feb 15 11:50:19 CET 2018	0	3 	0 	9 	Orientation 	819	0	false 
Thu Feb 15 11:50:21 CET 2018	0	3 	1 	9 	Size 	688	0	false 
Thu Feb 15 11:50:23 CET 2018	0	3 	2 	9 	Size 	799	0	false 
Thu Feb 15 11:50:25 CET 2018	0	3 	3 	9 	Orientation 	1207	0	false 
Thu Feb 15 11:50:26 CET 2018	0	3 	4 	9 	Size 	680	0	false 
Thu Feb 15 11:50:28 CET 2018	0	3 	5 	9 	Size 	729	0	false 
Thu Feb 15 11:50:37 CET 2018	0	3 	6 	9 	SizeOrientation 	8454	0	false 
Thu Feb 15 11:50:43 CET 2018	0	3 	7 	9 	SizeOrientation 	4708	0	false 
Thu Feb 15 11:50:45 CET 2018	0	3 	8 	9 	Orientation 	1185	0	false 
Thu Feb 15 11:50:46 CET 2018	0	3 	9 	9 	Size 	714	0	false 
Thu Feb 15 11:50:49 CET 2018	0	3 	10 	9 	Orientation 	1873	0	false 
Thu Feb 15 11:50:51 CET 2018	0	3 	11 	9 	Orientation 	776	0	false 
Thu Feb 15 11:51:18 CET 2018	0	3 	12 	9 	SizeOrientation 	25271	0	false 
Thu Feb 15 11:51:24 CET 2018	0	3 	13 	9 	SizeOrientation 	5566	0	false 
Thu Feb 15 11:51:44 CET 2018	0	3 	14 	9 	SizeOrientation 	11844	1	false
Thu Feb 15 11:53:52 CET 2018	1	1 	0 	9 	Size 	2139	0	false
Thu Feb 15 11:53:59 CET 2018	1	1 	1 	9 	SizeOrientation 	5159	0	false
Thu Feb 15 11:54:03 CET 2018	1	1 	2 	9 	Orientation 	2975	0	false
Thu Feb 15 11:54:06 CET 2018	1	1 	3 	9 	Size 	1760	0	false
Thu Feb 15 11:54:12 CET 2018	1	1 	4 	9 	SizeOrientation 	4176	0	false
Thu Feb 15 11:54:17 CET 2018	1	1 	5 	9 	Orientation 	1456	0	false
Thu Feb 15 11:54:20 CET 2018	1	1 	6 	9 	Size 	1680	0	false
Thu Feb 15 11:54:28 CET 2018	1	1 	7 	9 	SizeOrientation 	7231	0	false
Thu Feb 15 11:54:34 CET 2018	1	1 	8 	9 	Orientation 	4080	0	false
Thu Feb 15 11:54:49 CET 2018	1	1 	9 	9 	SizeOrientation 	6488	1	false
Thu Feb 15 11:55:05 CET 2018	1	1 	10 	9 	SizeOrientation 	8345	1	false
Thu Feb 15 11:55:09 CET 2018	1	1 	11 	9 	Orientation 	1888	0	false
Thu Feb 15 11:55:11 CET 2018	1	1 	12 	9 	Size 	1416	0	false
Thu Feb 15 11:55:13 CET 2018	1	1 	13 	9 	Orientation 	1208	0	false
Thu Feb 15 11:55:15 CET 2018	1	1 	14 	9 	Size 	1136	0	false
Thu Feb 15 11:55:35 CET 2018	1	2 	0 	16 	SizeOrientation 	9756	1	false
Thu Feb 15 11:55:46 CET 2018	1	2 	1 	16 	SizeOrientation 	9375	0	false
Thu Feb 15 11:55:49 CET 2018	1	2 	2 	16 	Size 	1320	0	false
Thu Feb 15 11:55:52 CET 2018	1	2 	3 	16 	Orientation 	1808	0	false
Thu Feb 15 11:55:54 CET 2018	1	2 	4 	16 	Orientation 	1040	0	false
Thu Feb 15 11:55:56 CET 2018	1	2 	5 	16 	Size 	1264	0	false
Thu Feb 15 11:56:31 CET 2018	1	2 	6 	16 	SizeOrientation 	10399	3	false
Thu Feb 15 11:56:34 CET 2018	1	2 	7 	16 	Orientation 	1824	0	false
Thu Feb 15 11:56:44 CET 2018	1	2 	8 	16 	SizeOrientation 	8303	0	false
Thu Feb 15 11:56:46 CET 2018	1	2 	9 	16 	Size 	1255	0	false
Thu Feb 15 11:56:48 CET 2018	1	2 	10 	16 	Size 	1216	0	false
Thu Feb 15 11:56:50 CET 2018	1	2 	11 	16 	Size 	928	0	false
Thu Feb 15 11:57:05 CET 2018	1	2 	12 	16 	SizeOrientation 	14592	0	false
Thu Feb 15 11:57:08 CET 2018	1	2 	13 	16 	Orientation 	1159	0	false
