Time	Participant	Block	Trial	ObjectCount	VVChange	CompletionTime	Error	Practice
Thu Feb 15 12:17:05 CET 2018	5	1 	0 	36 	VV2 	1550	0	Practice 
Thu Feb 15 12:17:23 CET 2018	5	1 	1 	36 	VV1VV2 	7600	1	Practice 
Thu Feb 15 12:17:38 CET 2018	5	1 	2 	36 	VV1VV2 	2515	1	Practice 
Thu Feb 15 12:17:43 CET 2018	5	1 	3 	36 	VV2 	1424	0	Practice 
Thu Feb 15 12:17:50 CET 2018	5	1 	4 	36 	VV1VV2 	3048	0	Practice 
Thu Feb 15 12:19:07 CET 2018	5	1 	5 	36 	VV1VV2 	3309	10	Practice 
Thu Feb 15 12:19:10 CET 2018	5	1 	6 	36 	VV1 	1367	0	Practice 
Thu Feb 15 12:19:40 CET 2018	5	1 	7 	36 	VV1VV2 	5588	4	Practice 
Thu Feb 15 12:19:44 CET 2018	5	1 	8 	36 	VV1 	1515	0	Practice 
Thu Feb 15 12:19:47 CET 2018	5	1 	9 	36 	VV2 	1712	0	Practice 
Thu Feb 15 12:19:49 CET 2018	5	1 	10 	36 	VV1 	855	0	Practice 
Thu Feb 15 12:19:51 CET 2018	5	1 	11 	36 	VV1 	832	0	Practice 
Thu Feb 15 12:19:54 CET 2018	5	1 	12 	36 	VV2 	1376	0	Practice 
Thu Feb 15 12:19:59 CET 2018	5	1 	13 	36 	VV2 	2624	0	Practice 
Thu Feb 15 12:20:03 CET 2018	5	1 	14 	36 	VV1 	1072	0	Practice 
Thu Feb 15 12:20:05 CET 2018	5	2 	0 	9 	VV2 	840	0	Practice 
Thu Feb 15 12:20:08 CET 2018	5	2 	1 	9 	VV1 	1295	0	Practice 
Thu Feb 15 12:20:23 CET 2018	5	2 	2 	9 	VV1VV2 	5690	3	Practice 
Thu Feb 15 12:20:26 CET 2018	5	2 	3 	9 	VV2 	2048	0	Practice 
Thu Feb 15 12:20:28 CET 2018	5	2 	4 	9 	VV1VV2 	1064	0	Practice 
Thu Feb 15 12:20:30 CET 2018	5	2 	5 	9 	VV1 	1032	0	Practice 
Thu Feb 15 12:21:08 CET 2018	5	2 	6 	9 	VV1VV2 	6160	8	Practice 
Thu Feb 15 12:21:20 CET 2018	5	2 	7 	9 	VV1VV2 	2898	2	Practice 
Thu Feb 15 12:21:56 CET 2018	5	2 	8 	9 	VV1VV2 	1806	5	Practice 
Thu Feb 15 12:21:59 CET 2018	5	2 	9 	9 	VV2 	1200	0	Practice 
Thu Feb 15 12:22:01 CET 2018	5	2 	10 	9 	VV2 	808	0	Practice 
Thu Feb 15 12:22:03 CET 2018	5	2 	11 	9 	VV1 	848	0	Practice 
Thu Feb 15 12:22:05 CET 2018	5	2 	12 	9 	VV1 	664	0	Practice 
Thu Feb 15 12:22:07 CET 2018	5	2 	13 	9 	VV1 	802	0	Practice 
Thu Feb 15 12:22:09 CET 2018	5	2 	14 	9 	VV2 	1255	0	Practice 
Thu Feb 15 12:22:18 CET 2018	5	3 	0 	16 	VV1VV2 	6701	0	Practice 
Thu Feb 15 12:22:19 CET 2018	5	3 	1 	16 	VV1 	688	0	Practice 
Thu Feb 15 12:22:23 CET 2018	5	3 	2 	16 	VV1VV2 	2344	0	Practice 
Thu Feb 15 12:22:26 CET 2018	5	3 	3 	16 	VV2 	1176	0	Practice 
Thu Feb 15 12:22:51 CET 2018	5	3 	4 	16 	VV1VV2 	3098	3	Practice 
Thu Feb 15 12:22:54 CET 2018	5	3 	5 	16 	VV2 	1199	0	Practice 
Thu Feb 15 12:23:13 CET 2018	5	3 	6 	16 	VV1VV2 	3250	3	Practice 
Thu Feb 15 12:23:15 CET 2018	5	3 	7 	16 	VV2 	858	0	Practice 
Thu Feb 15 12:23:17 CET 2018	5	3 	8 	16 	VV1 	808	0	Practice 
Thu Feb 15 12:23:20 CET 2018	5	3 	9 	16 	VV1 	969	0	Practice 
Thu Feb 15 12:23:23 CET 2018	5	3 	10 	16 	VV2 	1243	0	Practice 
Thu Feb 15 12:23:27 CET 2018	5	3 	11 	16 	VV1VV2 	1936	0	Practice 
Thu Feb 15 12:23:29 CET 2018	5	3 	12 	16 	VV1 	680	0	Practice 
Thu Feb 15 12:23:35 CET 2018	5	3 	13 	16 	VV2 	808	1	Practice 
Thu Feb 15 12:23:37 CET 2018	5	3 	14 	16 	VV1 	986	0	Practice 
