Time	Participant	Block	Trial	Difficulty	Device	CompletionTime	Error	Practice
Thu Feb 15 11:41:02 CET 2018	0	0 	0 	Difficulty 	Device 	916ms	0	Practice 
Thu Feb 15 11:41:05 CET 2018	0	0 	1 	Difficulty 	Device 	1848ms	0	Practice 
Thu Feb 15 11:41:08 CET 2018	0	0 	2 	Difficulty 	Device 	1296ms	0	Practice 
Thu Feb 15 11:41:44 CET 2018	0	1 	0 	Difficulty 	Device 	10356ms	1	Practice 
Thu Feb 15 11:41:47 CET 2018	0	1 	1 	Difficulty 	Device 	944ms	0	Practice 
Thu Feb 15 11:41:50 CET 2018	0	1 	2 	Difficulty 	Device 	1688ms	0	Practice 
Thu Feb 15 11:41:53 CET 2018	0	1 	3 	Difficulty 	Device 	1216ms	0	Practice 
Thu Feb 15 11:41:56 CET 2018	0	1 	4 	Difficulty 	Device 	1416ms	0	Practice 
Thu Feb 15 11:42:04 CET 2018	0	1 	5 	Difficulty 	Device 	5984ms	0	Practice 
Thu Feb 15 11:42:14 CET 2018	0	1 	6 	Difficulty 	Device 	8328ms	0	Practice 
Thu Feb 15 11:42:18 CET 2018	0	1 	7 	Difficulty 	Device 	1816ms	0	Practice 
Thu Feb 15 11:42:31 CET 2018	0	1 	8 	Difficulty 	Device 	10783ms	0	Practice 
Thu Feb 15 11:42:36 CET 2018	0	1 	9 	Difficulty 	Device 	800ms	0	Practice 
Thu Feb 15 11:42:41 CET 2018	0	1 	10 	Difficulty 	Device 	2035ms	0	Practice 
Thu Feb 15 11:42:44 CET 2018	0	1 	11 	Difficulty 	Device 	1392ms	0	Practice 
Thu Feb 15 11:42:46 CET 2018	0	1 	12 	Difficulty 	Device 	928ms	0	Practice 
Thu Feb 15 11:42:57 CET 2018	0	1 	13 	Difficulty 	Device 	6570ms	1	Practice 
