Time	Participant	Block	Trial	Difficulty	Device	CompletionTime	Error	Practice
Thu Feb 15 10:55:24 CET 2018	0	0 	0 	Difficulty 	Device 	1280ms	0	Practice 
Thu Feb 15 10:55:26 CET 2018	0	0 	1 	Difficulty 	Device 	1200ms	0	Practice 
Thu Feb 15 10:55:29 CET 2018	0	0 	2 	Difficulty 	Device 	1192ms	0	Practice 
Thu Feb 15 10:55:34 CET 2018	0	1 	0 	Difficulty 	Device 	3216ms	0	Practice 
Thu Feb 15 10:55:36 CET 2018	0	1 	1 	Difficulty 	Device 	1512ms	0	Practice 
Thu Feb 15 10:55:38 CET 2018	0	1 	2 	Difficulty 	Device 	1107ms	0	Practice 
Thu Feb 15 10:55:40 CET 2018	0	1 	3 	Difficulty 	Device 	808ms	0	Practice 
Thu Feb 15 10:55:41 CET 2018	0	1 	4 	Difficulty 	Device 	769ms	0	Practice 
Thu Feb 15 10:55:46 CET 2018	0	1 	5 	Difficulty 	Device 	3376ms	0	Practice 
Thu Feb 15 10:55:49 CET 2018	0	1 	6 	Difficulty 	Device 	1732ms	0	Practice 
Thu Feb 15 10:55:51 CET 2018	0	1 	7 	Difficulty 	Device 	1096ms	0	Practice 
Thu Feb 15 10:55:53 CET 2018	0	1 	8 	Difficulty 	Device 	1399ms	0	Practice 
Thu Feb 15 10:55:55 CET 2018	0	1 	9 	Difficulty 	Device 	784ms	0	Practice 
Thu Feb 15 10:55:57 CET 2018	0	1 	10 	Difficulty 	Device 	1091ms	0	Practice 
Thu Feb 15 10:55:58 CET 2018	0	1 	11 	Difficulty 	Device 	764ms	0	Practice 
Thu Feb 15 10:56:00 CET 2018	0	1 	12 	Difficulty 	Device 	903ms	0	Practice 
Thu Feb 15 10:56:02 CET 2018	0	1 	13 	Difficulty 	Device 	1239ms	0	Practice 
Thu Feb 15 10:56:04 CET 2018	0	1 	14 	Difficulty 	Device 	1392ms	0	Practice 
Thu Feb 15 10:56:07 CET 2018	0	2 	0 	Difficulty 	Device 	1743ms	0	Practice 
Thu Feb 15 10:56:09 CET 2018	0	2 	1 	Difficulty 	Device 	1472ms	0	Practice 
Thu Feb 15 10:56:11 CET 2018	0	2 	2 	Difficulty 	Device 	808ms	0	Practice 
Thu Feb 15 10:56:14 CET 2018	0	2 	3 	Difficulty 	Device 	1047ms	0	Practice 
Thu Feb 15 10:56:16 CET 2018	0	2 	4 	Difficulty 	Device 	1319ms	0	Practice 
Thu Feb 15 10:56:18 CET 2018	0	2 	5 	Difficulty 	Device 	1880ms	0	Practice 
Thu Feb 15 10:56:21 CET 2018	0	2 	6 	Difficulty 	Device 	1384ms	0	Practice 
Thu Feb 15 10:56:24 CET 2018	0	2 	7 	Difficulty 	Device 	2344ms	0	Practice 
Thu Feb 15 10:56:26 CET 2018	0	2 	8 	Difficulty 	Device 	1704ms	0	Practice 
Thu Feb 15 10:56:28 CET 2018	0	2 	9 	Difficulty 	Device 	832ms	0	Practice 
Thu Feb 15 10:56:30 CET 2018	0	2 	10 	Difficulty 	Device 	1479ms	0	Practice 
Thu Feb 15 10:56:32 CET 2018	0	2 	11 	Difficulty 	Device 	1463ms	0	Practice 
Thu Feb 15 10:56:34 CET 2018	0	2 	12 	Difficulty 	Device 	1256ms	0	Practice 
Thu Feb 15 10:56:36 CET 2018	0	2 	13 	Difficulty 	Device 	802ms	0	Practice 
Thu Feb 15 10:56:38 CET 2018	0	2 	14 	Difficulty 	Device 	1040ms	0	Practice 
Thu Feb 15 10:56:40 CET 2018	0	3 	0 	Difficulty 	Device 	936ms	0	Practice 
Thu Feb 15 10:56:42 CET 2018	0	3 	1 	Difficulty 	Device 	804ms	0	Practice 
Thu Feb 15 10:56:43 CET 2018	0	3 	2 	Difficulty 	Device 	687ms	0	Practice 
Thu Feb 15 10:56:45 CET 2018	0	3 	3 	Difficulty 	Device 	711ms	0	Practice 
Thu Feb 15 10:56:46 CET 2018	0	3 	4 	Difficulty 	Device 	613ms	0	Practice 
Thu Feb 15 10:56:48 CET 2018	0	3 	5 	Difficulty 	Device 	591ms	0	Practice 
Thu Feb 15 10:56:51 CET 2018	0	3 	6 	Difficulty 	Device 	2056ms	0	Practice 
Thu Feb 15 10:56:56 CET 2018	0	3 	7 	Difficulty 	Device 	4320ms	0	Practice 
Thu Feb 15 10:56:58 CET 2018	0	3 	8 	Difficulty 	Device 	781ms	0	Practice 
Thu Feb 15 10:57:00 CET 2018	0	3 	9 	Difficulty 	Device 	1024ms	0	Practice 
Thu Feb 15 10:57:01 CET 2018	0	3 	10 	Difficulty 	Device 	655ms	0	Practice 
Thu Feb 15 10:57:03 CET 2018	0	3 	11 	Difficulty 	Device 	759ms	0	Practice 
Thu Feb 15 10:57:07 CET 2018	0	3 	12 	Difficulty 	Device 	3064ms	0	Practice 
Thu Feb 15 10:57:11 CET 2018	0	3 	13 	Difficulty 	Device 	2152ms	0	Practice 
Thu Feb 15 10:57:14 CET 2018	0	3 	14 	Difficulty 	Device 	2136ms	0	Practice 
