Time	Participant	Block	Trial	ObjectCount	VVChange	CompletionTime	Error	Practice
Thu Feb 15 12:09:53 CET 2018	4	1 	0 	9 	VV1 	864	0	Practice 
Thu Feb 15 12:09:56 CET 2018	4	1 	1 	9 	VV2 	624	0	Practice 
Thu Feb 15 12:10:07 CET 2018	4	1 	2 	9 	VV1VV2 	8535	0	Practice 
Thu Feb 15 12:10:10 CET 2018	4	1 	3 	9 	VV2 	1232	0	Practice 
Thu Feb 15 12:11:25 CET 2018	4	1 	4 	9 	VV1VV2 	72975	0	Practice 
Thu Feb 15 12:11:29 CET 2018	4	1 	5 	9 	VV1 	1048	0	Practice 
Thu Feb 15 12:11:31 CET 2018	4	1 	6 	9 	VV1 	960	0	Practice 
Thu Feb 15 12:11:34 CET 2018	4	1 	7 	9 	VV1 	992	0	Practice 
Thu Feb 15 12:11:36 CET 2018	4	1 	8 	9 	VV2 	1248	0	Practice 
Thu Feb 15 12:11:41 CET 2018	4	1 	9 	9 	VV1VV2 	3240	0	Practice 
Thu Feb 15 12:11:48 CET 2018	4	1 	10 	9 	VV1VV2 	5540	0	Practice 
Thu Feb 15 12:12:11 CET 2018	4	1 	11 	9 	VV1VV2 	2954	2	Practice 
Thu Feb 15 12:12:16 CET 2018	4	1 	12 	9 	VV2 	2736	0	Practice 
Thu Feb 15 12:12:20 CET 2018	4	1 	13 	9 	VV2 	1560	0	Practice 
Thu Feb 15 12:12:23 CET 2018	4	1 	14 	9 	VV1 	1047	0	Practice 
Thu Feb 15 12:12:26 CET 2018	4	2 	0 	16 	VV2 	1343	0	Practice 
Thu Feb 15 12:12:28 CET 2018	4	2 	1 	16 	VV1 	768	0	Practice 
Thu Feb 15 12:12:37 CET 2018	4	2 	2 	16 	VV1VV2 	6801	0	Practice 
Thu Feb 15 12:12:41 CET 2018	4	2 	3 	16 	VV1 	1128	0	Practice 
Thu Feb 15 12:12:43 CET 2018	4	2 	4 	16 	VV1 	759	0	Practice 
Thu Feb 15 12:12:51 CET 2018	4	2 	5 	16 	VV1VV2 	6064	0	Practice 
Thu Feb 15 12:12:54 CET 2018	4	2 	6 	16 	VV2 	1128	0	Practice 
Thu Feb 15 12:12:56 CET 2018	4	2 	7 	16 	VV1 	824	0	Practice 
Thu Feb 15 12:12:59 CET 2018	4	2 	8 	16 	VV2 	752	0	Practice 
Thu Feb 15 12:13:05 CET 2018	4	2 	9 	16 	VV1VV2 	4952	0	Practice 
Thu Feb 15 12:13:08 CET 2018	4	2 	10 	16 	VV1 	792	0	Practice 
Thu Feb 15 12:13:11 CET 2018	4	2 	11 	16 	VV2 	720	0	Practice 
Thu Feb 15 12:13:14 CET 2018	4	2 	12 	16 	VV2 	705	0	Practice 
Thu Feb 15 12:13:19 CET 2018	4	2 	13 	16 	VV1VV2 	4296	0	Practice 
Thu Feb 15 12:13:25 CET 2018	4	2 	14 	16 	VV1VV2 	4169	0	Practice 
Thu Feb 15 12:13:34 CET 2018	4	3 	0 	36 	VV1VV2 	7360	0	Practice 
Thu Feb 15 12:13:38 CET 2018	4	3 	1 	36 	VV2 	2592	0	Practice 
Thu Feb 15 12:13:41 CET 2018	4	3 	2 	36 	VV2 	743	0	Practice 
Thu Feb 15 12:13:48 CET 2018	4	3 	3 	36 	VV1VV2 	5198	0	Practice 
Thu Feb 15 12:13:52 CET 2018	4	3 	4 	36 	VV2 	2463	0	Practice 
Thu Feb 15 12:13:54 CET 2018	4	3 	5 	36 	VV1 	824	0	Practice 
Thu Feb 15 12:13:56 CET 2018	4	3 	6 	36 	VV1 	664	0	Practice 
Thu Feb 15 12:14:01 CET 2018	4	3 	7 	36 	VV1VV2 	3552	0	Practice 
Thu Feb 15 12:14:08 CET 2018	4	3 	8 	36 	VV1VV2 	4906	0	Practice 
Thu Feb 15 12:14:10 CET 2018	4	3 	9 	36 	VV1 	728	0	Practice 
Thu Feb 15 12:14:13 CET 2018	4	3 	10 	36 	VV1 	792	0	Practice 
Thu Feb 15 12:14:16 CET 2018	4	3 	11 	36 	VV1 	888	0	Practice 
Thu Feb 15 12:14:22 CET 2018	4	3 	12 	36 	VV1VV2 	5164	0	Practice 
Thu Feb 15 12:14:25 CET 2018	4	3 	13 	36 	VV2 	736	0	Practice 
Thu Feb 15 12:14:27 CET 2018	4	3 	14 	36 	VV2 	903	0	Practice 
