Time	Participant	Block	Trial	ObjectCount	VVChange	CompletionTime	Error	Practice
Thu Feb 15 12:32:19 CET 2018	0	0 	0 	16 	VV1 	2563	0	Practice 
Thu Feb 15 12:32:22 CET 2018	0	0 	1 	16 	VV2 	2144	0	Practice 
Thu Feb 15 12:32:24 CET 2018	0	0 	2 	36 	VV2 	743	0	Practice 
