Time	Participant	Block	Trial	Difficulty	Device	CompletionTime	Error	Practice
Thu Feb 15 11:24:59 CET 2018	0	0 	0 	Difficulty 	Device 	1067ms	0	Practice 
Thu Feb 15 11:25:02 CET 2018	0	0 	1 	Difficulty 	Device 	752ms	0	Practice 
Thu Feb 15 11:25:05 CET 2018	0	0 	2 	Difficulty 	Device 	896ms	0	Practice 
Thu Feb 15 11:25:22 CET 2018	0	1 	0 	Difficulty 	Device 	9111ms	1	Practice 
Thu Feb 15 11:25:24 CET 2018	0	1 	1 	Difficulty 	Device 	703ms	0	Practice 
Thu Feb 15 11:25:27 CET 2018	0	1 	2 	Difficulty 	Device 	743ms	0	Practice 
Thu Feb 15 11:25:29 CET 2018	0	1 	3 	Difficulty 	Device 	584ms	0	Practice 
Thu Feb 15 11:25:32 CET 2018	0	1 	4 	Difficulty 	Device 	888ms	0	Practice 
Thu Feb 15 11:25:44 CET 2018	0	1 	5 	Difficulty 	Device 	7768ms	0	Practice 
Thu Feb 15 11:25:47 CET 2018	0	1 	6 	Difficulty 	Device 	1544ms	0	Practice 
Thu Feb 15 11:25:51 CET 2018	0	1 	7 	Difficulty 	Device 	951ms	0	Practice 
