Time	Participant	Block	Trial	ObjectCount	VVChange	CompletionTime	Error	Practice
Thu Feb 15 11:53:52 CET 2018	1	1 	0 	9 	VV1 	2139	0	Practice 
Thu Feb 15 11:53:59 CET 2018	1	1 	1 	9 	VV1VV2 	5159	0	Practice 
Thu Feb 15 11:54:03 CET 2018	1	1 	2 	9 	VV2 	2975	0	Practice 
Thu Feb 15 11:54:06 CET 2018	1	1 	3 	9 	VV1 	1760	0	Practice 
Thu Feb 15 11:54:12 CET 2018	1	1 	4 	9 	VV1VV2 	4176	0	Practice 
Thu Feb 15 11:54:17 CET 2018	1	1 	5 	9 	VV2 	1456	0	Practice 
Thu Feb 15 11:54:20 CET 2018	1	1 	6 	9 	VV1 	1680	0	Practice 
Thu Feb 15 11:54:28 CET 2018	1	1 	7 	9 	VV1VV2 	7231	0	Practice 
Thu Feb 15 11:54:34 CET 2018	1	1 	8 	9 	VV2 	4080	0	Practice 
Thu Feb 15 11:54:49 CET 2018	1	1 	9 	9 	VV1VV2 	6488	1	Practice 
Thu Feb 15 11:55:05 CET 2018	1	1 	10 	9 	VV1VV2 	8345	1	Practice 
Thu Feb 15 11:55:09 CET 2018	1	1 	11 	9 	VV2 	1888	0	Practice 
Thu Feb 15 11:55:11 CET 2018	1	1 	12 	9 	VV1 	1416	0	Practice 
Thu Feb 15 11:55:13 CET 2018	1	1 	13 	9 	VV2 	1208	0	Practice 
Thu Feb 15 11:55:15 CET 2018	1	1 	14 	9 	VV1 	1136	0	Practice 
Thu Feb 15 11:55:35 CET 2018	1	2 	0 	16 	VV1VV2 	9756	1	Practice 
Thu Feb 15 11:55:46 CET 2018	1	2 	1 	16 	VV1VV2 	9375	0	Practice 
Thu Feb 15 11:55:49 CET 2018	1	2 	2 	16 	VV1 	1320	0	Practice 
Thu Feb 15 11:55:52 CET 2018	1	2 	3 	16 	VV2 	1808	0	Practice 
Thu Feb 15 11:55:54 CET 2018	1	2 	4 	16 	VV2 	1040	0	Practice 
Thu Feb 15 11:55:56 CET 2018	1	2 	5 	16 	VV1 	1264	0	Practice 
Thu Feb 15 11:56:31 CET 2018	1	2 	6 	16 	VV1VV2 	10399	3	Practice 
Thu Feb 15 11:56:34 CET 2018	1	2 	7 	16 	VV2 	1824	0	Practice 
Thu Feb 15 11:56:44 CET 2018	1	2 	8 	16 	VV1VV2 	8303	0	Practice 
Thu Feb 15 11:56:46 CET 2018	1	2 	9 	16 	VV1 	1255	0	Practice 
Thu Feb 15 11:56:48 CET 2018	1	2 	10 	16 	VV1 	1216	0	Practice 
Thu Feb 15 11:56:50 CET 2018	1	2 	11 	16 	VV1 	928	0	Practice 
Thu Feb 15 11:57:05 CET 2018	1	2 	12 	16 	VV1VV2 	14592	0	Practice 
Thu Feb 15 11:57:08 CET 2018	1	2 	13 	16 	VV2 	1159	0	Practice 
Thu Feb 15 11:57:10 CET 2018	1	2 	14 	16 	VV2 	1056	0	Practice 
Thu Feb 15 11:57:21 CET 2018	1	3 	0 	36 	VV1VV2 	10116	0	Practice 
Thu Feb 15 11:57:23 CET 2018	1	3 	1 	36 	VV2 	1264	0	Practice 
Thu Feb 15 11:57:28 CET 2018	1	3 	2 	36 	VV2 	4544	0	Practice 
Thu Feb 15 11:57:31 CET 2018	1	3 	3 	36 	VV2 	1520	0	Practice 
Thu Feb 15 11:57:47 CET 2018	1	3 	4 	36 	VV1VV2 	5008	1	Practice 
Thu Feb 15 11:58:42 CET 2018	1	3 	5 	36 	VV1VV2 	23561	2	Practice 
Thu Feb 15 11:58:45 CET 2018	1	3 	6 	36 	VV1 	1712	0	Practice 
Thu Feb 15 11:58:47 CET 2018	1	3 	7 	36 	VV1 	1128	0	Practice 
Thu Feb 15 11:58:50 CET 2018	1	3 	8 	36 	VV2 	1416	0	Practice 
Thu Feb 15 11:58:53 CET 2018	1	3 	9 	36 	VV1 	1952	0	Practice 
Thu Feb 15 11:59:15 CET 2018	1	3 	10 	36 	VV1VV2 	3696	2	Practice 
Thu Feb 15 11:59:49 CET 2018	1	3 	11 	36 	VV1VV2 	4827	2	Practice 
Thu Feb 15 11:59:52 CET 2018	1	3 	12 	36 	VV1 	1064	0	Practice 
Thu Feb 15 11:59:55 CET 2018	1	3 	13 	36 	VV2 	1481	0	Practice 
Thu Feb 15 11:59:57 CET 2018	1	3 	14 	36 	VV1 	1304	0	Practice 
