Time	Participant	Block	Trial	ObjectCount	VVChange	CompletionTime	Error	Practice
Thu Feb 15 12:25:33 CET 2018	0	0 	0 	16 	VV1 	956	0	Practice 
Thu Feb 15 12:25:35 CET 2018	0	0 	1 	16 	VV2 	1059	0	Practice 
Thu Feb 15 12:25:38 CET 2018	0	0 	2 	36 	VV2 	781	0	Practice 
Thu Feb 15 12:26:49 CET 2018	0	1 	0 	16 	VV1VV2 	69794	0	Practice 
Thu Feb 15 12:26:53 CET 2018	0	1 	1 	16 	VV2 	3232	0	Practice 
Thu Feb 15 12:26:55 CET 2018	0	1 	2 	16 	VV1 	775	0	Practice 
Thu Feb 15 12:26:57 CET 2018	0	1 	3 	16 	VV1 	872	0	Practice 
Thu Feb 15 12:27:02 CET 2018	0	1 	4 	16 	VV2 	1832	0	Practice 
